City,Date,Time,Temperature (°C),Weather,Humidity (%),Pressure (hPa),Wind Speed (m/s),Cloudiness (%)
Riyadh,2025-05-31,00:55:45,30.25,broken clouds,12,1007,4.36,77
Dubai,2025-05-31,00:53:54,33.96,clear sky,52,999,2.57,0
Tokyo,2025-05-31,00:51:40,15.71,light rain,75,1005,9.26,75
Los Angeles,2025-05-31,00:51:05,29.14,clear sky,48,1013,5.14,0
Muscat,2025-05-31,01:56:32,32.67,clear sky,36,999,2.37,4
London,2025-05-31,01:54:12,19.02,overcast clouds,75,1019,3.09,100
Paris,2025-05-31,01:58:07,21.79,clear sky,76,1019,2.57,0
Riyadh,2025-05-31,02:00:09,28.96,broken clouds,13,1008,3.06,58
Dubai,2025-05-31,01:49:55,31.96,scattered clouds,58,999,3.09,31
Tokyo,2025-05-31,01:50:36,15.95,heavy intensity rain,75,1004,8.23,75
Los Angeles,2025-05-31,01:58:06,25.58,clear sky,62,1012,4.63,0
Muscat,2025-05-31,02:59:58,30.91,clear sky,35,999,2.75,5
London,2025-05-31,02:52:01,18.52,overcast clouds,78,1019,3.09,100
Paris,2025-05-31,03:00:01,20.11,clear sky,82,1019,3.6,0
Riyadh,2025-05-31,03:00:08,28.31,broken clouds,13,1008,2.24,65
Dubai,2025-05-31,02:53:49,31.96,scattered clouds,62,999,3.09,25
Tokyo,2025-05-31,02:52:03,15.54,moderate rain,81,1004,9.77,75
Los Angeles,2025-05-31,02:53:05,27.61,clear sky,57,1012,6.17,0
Muscat,2025-05-31,03:59:26,30.92,clear sky,28,999,2.09,7
London,2025-05-31,03:55:03,17.85,overcast clouds,81,1019,0.89,100
Paris,2025-05-31,03:57:13,19.66,clear sky,83,1019,3.6,0
Riyadh,2025-05-31,04:00:02,28.08,broken clouds,12,1008,2.84,71
Dubai,2025-05-31,03:59:46,30.96,few clouds,70,999,3.6,21
Tokyo,2025-05-31,03:52:50,15.58,light intensity shower rain,81,1003,10.8,75
Los Angeles,2025-05-31,03:58:06,30.73,clear sky,44,1011,6.69,0
Muscat,2025-05-31,04:56:54,30.89,scattered clouds,27,1000,1.32,32
London,2025-05-31,04:47:06,17.32,overcast clouds,82,1018,1.73,100
Paris,2025-05-31,04:57:12,19.14,clear sky,81,1019,4.12,0
Riyadh,2025-05-31,04:59:09,27.53,overcast clouds,13,1009,2.86,100
Dubai,2025-05-31,04:52:38,29.96,clear sky,70,1000,4.12,5
Tokyo,2025-05-31,04:48:28,15.14,heavy intensity shower rain,87,1002,9.26,75
Los Angeles,2025-05-31,04:56:31,26.54,clear sky,57,1011,6.69,0
Muscat,2025-05-31,05:57:23,33.89,few clouds,27,1000,0.96,20
London,2025-05-31,05:55:10,16.61,overcast clouds,84,1018,0.45,90
Paris,2025-05-31,05:56:59,18.22,clear sky,81,1018,3.6,0
Riyadh,2025-05-31,05:58:32,26.83,overcast clouds,14,1009,2.7,100
Dubai,2025-05-31,05:47:29,28.96,clear sky,70,1000,4.12,5
Tokyo,2025-05-31,05:49:59,15.27,mist,90,1001,8.75,75
Los Angeles,2025-05-31,05:55:29,24.03,clear sky,65,1012,7.2,0
Muscat,2025-05-31,06:55:49,35.93,few clouds,31,1001,1.49,15
London,2025-05-31,06:55:39,16.46,overcast clouds,83,1018,0.45,93
Paris,2025-05-31,06:56:21,17.71,clear sky,79,1018,3.09,0
Riyadh,2025-05-31,07:00:02,26.48,overcast clouds,14,1010,2.5,90
Dubai,2025-05-31,06:48:41,30.96,clear sky,58,1001,5.14,7
Tokyo,2025-05-31,06:55:19,15.47,shower rain,85,999,9.26,75
Los Angeles,2025-05-31,06:55:35,21.57,clear sky,74,1013,7.2,0
Muscat,2025-05-31,08:00:08,37.34,few clouds,37,1001,1.5,11
London,2025-05-31,07:50:04,15.77,overcast clouds,85,1018,1.54,95
Paris,2025-05-31,07:56:51,17.32,clear sky,81,1018,1.54,0
Riyadh,2025-05-31,07:59:10,28.97,broken clouds,13,1010,3.63,68
Dubai,2025-05-31,07:56:55,29.96,clear sky,66,1001,3.6,7
